BackT,Clave,Composicion_1,Composicion_2,Composicion_3,Composicion_4,F_Inicio,F_Fin,Trigger,Strike,Cupon,Rentabilidad,ProbNeut_Put,Prob_Put,NPVNeut_Put,NPV_Put,VaR95,ES95,Bloque,Vida_Media,rhoCesta,volatCesta,NPVPut_Back,NCupones_Back,Rentabilidad_Back,Fin_Ventana
1,233,AMAZON LVMH ROCHE,AMAZON,LVMH,ROCHE,07/30/2018,06/26/2020,1,0.75,11.43859398,7.724894798,0.54975,0.15475,-10.31588077,-2.626374094,-9.887772445,-24.51788053,12,0.90725,0.383773506,0.301332495,0,0,0,783
1,152,ALPHABET S_P LVMH,ALPHABET,S_P,LVMH,07/30/2018,06/26/2020,1,0.85,22.65424718,13.18250475,0.61575,0.30385,-19.68772689,-6.555108661,-18.07206465,-32.11059282,15,0.8741625,0.659234825,0.453265918,0,0,0,783
1,152,ALPHABET S_P LVMH,ALPHABET,S_P,LVMH,07/30/2018,06/26/2020,1,0.75,15.99139912,9.958430677,0.54985,0.21615,-13.89736308,-3.980644609,-13.89647657,-27.93500474,15,0.8741625,0.659234825,0.453265918,0,0,0,783
1,233,AMAZON LVMH ROCHE,AMAZON,LVMH,ROCHE,07/30/2018,06/26/2020,1.1,0.75,11.10089797,7.688031742,0.56995,0.16925,-10.50659685,-2.854251409,-10.83125856,-25.55616482,12,0.9522625,0.383773506,0.301332495,0,0,0,783
1,450,ALIBABA LVMH CANRAIL,ALIBABA,LVMH,CANRAIL,07/30/2018,06/26/2020,1,0.95,25.18574651,10.20588917,0.65695,0.48885,-21.88899314,-11.69427582,-25.13255897,-36.8469832,15,0.8742125,0.618897869,0.362018133,0,0,0,783
1,450,ALIBABA LVMH CANRAIL,ALIBABA,LVMH,CANRAIL,07/30/2018,06/26/2020,1,0.85,17.99237833,8.266638807,0.59995,0.37625,-15.63721947,-7.388269884,-21.42109135,-33.13551559,15,0.8742125,0.618897869,0.362018133,0,0,0,783
1,234,AMAZON LVMH CANRAIL,AMAZON,LVMH,CANRAIL,07/30/2018,06/26/2020,0.9,0.75,12.37645578,7.36731458,0.48165,0.1625,-10.11139939,-2.773768763,-10.9153934,-25.30802176,11,0.8216375,0.531984955,0.353048118,0,0,0,783
1,273,COMCAST S_P LVMH,COMCAST,S_P,LVMH,07/30/2018,06/26/2020,1,0.95,30.31400741,17.61574482,0.66215,0.37225,-26.34670579,-8.797481078,-17.28309478,-32.35115734,15,0.8742375,0.653970745,0.455824421,0,0,0,783
1,427,S_P ALIBABA LVMH,S_P,ALIBABA,LVMH,07/30/2018,06/26/2020,1,0.95,29.10651497,15.07683213,0.65985,0.3919,-25.29725299,-10.26599974,-22.16783225,-35.25526693,15,0.8742375,0.653784472,0.42516186,0,0,0,783
1,234,AMAZON LVMH CANRAIL,AMAZON,LVMH,CANRAIL,07/30/2018,06/26/2020,1,0.75,12.18366443,7.575428467,0.536,0.19485,-10.7562583,-3.212295219,-12.30081442,-26.41245456,12,0.888075,0.531984955,0.353048118,0,0,0,783
1,273,COMCAST S_P LVMH,COMCAST,S_P,LVMH,07/30/2018,06/26/2020,1,0.85,23.00410597,14.49191424,0.6178,0.27815,-19.99347707,-5.563226501,-13.67368473,-28.74174729,15,0.8742375,0.653970745,0.455824421,0,0,0,783
1,427,S_P ALIBABA LVMH,S_P,ALIBABA,LVMH,07/30/2018,06/26/2020,1,0.85,21.84647959,12.26532634,0.61205,0.31205,-18.98736148,-6.765689051,-18.51482743,-31.60226211,15,0.8742375,0.653784472,0.42516186,0,0,0,783
1,234,AMAZON LVMH CANRAIL,AMAZON,LVMH,CANRAIL,07/30/2018,06/26/2020,1.1,0.75,11.8483013,7.585623135,0.55935,0.21155,-11.00848422,-3.455001268,-13.23105283,-27.03203424,12,0.9347625,0.531984955,0.353048118,0,0,0,783
1,273,COMCAST S_P LVMH,COMCAST,S_P,LVMH,07/30/2018,06/26/2020,1,0.75,16.32276292,10.96027393,0.55245,0.18665,-14.18654507,-3.276765471,-9.514765382,-24.58282794,15,0.8742375,0.653970745,0.455824421,0,0,0,783
1,427,S_P ALIBABA LVMH,S_P,ALIBABA,LVMH,07/30/2018,06/26/2020,1,0.75,15.25824704,9.186726187,0.5394,0.2248,-13.26135183,-4.111286442,-14.27450739,-27.36194207,15,0.8742375,0.653784472,0.42516186,0,0,0,783
1,235,AMAZON ROCHE CANRAIL,AMAZON,ROCHE,CANRAIL,07/30/2018,06/26/2020,0.9,0.75,10.78435955,7.059605638,0.4615,0.1264,-8.786613201,-1.759282688,-5.091949078,-17.20101437,11,0.8193875,0.475523535,0.315054876,0,0,0,783
1,260,COMCAST MICROSOFT LVMH,COMCAST,MICROSOFT,LVMH,07/30/2018,06/26/2020,1,0.95,28.72029364,16.49675773,0.66085,0.36065,-24.96406924,-8.528401149,-18.50196241,-33.87088313,15,0.874325,0.642961561,0.432327257,0,0,0,783
1,260,COMCAST MICROSOFT LVMH,COMCAST,MICROSOFT,LVMH,07/30/2018,06/26/2020,1,0.85,21.43183136,13.281973,0.61455,0.26815,-18.62883886,-5.402120735,-14.87444718,-30.2433679,15,0.874325,0.642961561,0.432327257,0,0,0,783
1,235,AMAZON ROCHE CANRAIL,AMAZON,ROCHE,CANRAIL,07/30/2018,06/26/2020,1,0.75,10.57124829,7.3449068,0.5167,0.15425,-9.382912502,-2.072931069,-6.462110607,-18.34819376,12,0.8928625,0.475523535,0.315054876,0,0,0,783
1,136,ALPHABET MICROSOFT VISA,ALPHABET,MICROSOFT,VISA,07/30/2018,06/26/2020,1.1,0.95,26.93646249,13.75339461,0.62065,0.39205,-23.41492915,-9.701671357,-24.62347226,-41.30011395,15,0.874375,0.87748954,0.506578763,0,0,0,783
1,136,ALPHABET MICROSOFT VISA,ALPHABET,MICROSOFT,VISA,07/30/2018,06/26/2020,1.1,0.85,20.16758552,11.24500812,0.56645,0.2911,-17.53098003,-6.325452608,-20.54200906,-37.21865075,15,0.874375,0.87748954,0.506578763,0,0,0,783
1,235,AMAZON ROCHE CANRAIL,AMAZON,ROCHE,CANRAIL,07/30/2018,06/26/2020,1.1,0.75,10.23980127,7.395236895,0.5374,0.16725,-9.590118809,-2.230922699,-7.168693066,-19.10200316,12,0.9422625,0.475523535,0.315054876,0,0,0,783
1,74,ADOBE S_P LVMH,ADOBE,S_P,LVMH,07/30/2018,06/26/2020,1,0.95,31.6443842,19.72343857,0.66725,0.28745,-27.51355889,-7.872825535,-19.16288748,-36.6720556,15,0.874575,0.653019414,0.482658055,0,0,0,783
1,74,ADOBE S_P LVMH,ADOBE,S_P,LVMH,07/30/2018,06/26/2020,1,0.85,24.25077318,15.81339537,0.62925,0.2222,-21.08510223,-5.342036224,-15.62915484,-33.13832297,15,0.874575,0.653019414,0.482658055,0,0,0,783
1,236,COMCAST COSTCO FACEBOOK,COMCAST,COSTCO,FACEBOOK,07/30/2018,06/26/2020,0.9,0.75,13.909908,6.71117811,0.47125,0.2205,-11.21117166,-4.517918116,-20.450502,-34.34120808,11,0.8105375,0.66216129,0.407245205,0,0,0,783
1,74,ADOBE S_P LVMH,ADOBE,S_P,LVMH,07/30/2018,06/26/2020,1,0.75,17.42715153,11.75516761,0.5649,0.16,-15.15222912,-3.451495333,-11.59692375,-29.10609187,15,0.874575,0.653019414,0.482658055,0,0,0,783
1,138,ALPHABET MICROSOFT LONDONSE,ALPHABET,MICROSOFT,LONDONSE,07/30/2018,06/26/2020,1,0.95,28.05956536,17.06030117,0.65795,0.32445,-24.39809892,-7.406856037,-15.23036468,-29.77134986,15,0.874625,0.606649719,0.421031022,0,0,0,783
1,236,COMCAST COSTCO FACEBOOK,COMCAST,COSTCO,FACEBOOK,07/30/2018,06/26/2020,1,0.75,13.79557165,6.921387344,0.52265,0.2551,-11.94155546,-5.03959567,-21.39031035,-34.73377544,11,0.8706875,0.66216129,0.407245205,0,0,0,783
1,138,ALPHABET MICROSOFT LONDONSE,ALPHABET,MICROSOFT,LONDONSE,07/30/2018,06/26/2020,1,0.85,20.81951252,13.56749833,0.61,0.24295,-18.10279381,-4.595581449,-11.56269589,-26.10368107,15,0.874625,0.606649719,0.421031022,0,0,0,783
1,125,ALPHABET FACEBOOK MICROSOFT,ALPHABET,FACEBOOK,MICROSOFT,07/30/2018,06/26/2020,1.1,0.95,26.51907526,10.89552414,0.6207,0.4524,-23.06162073,-12.17930145,-31.13100674,-44.68115475,15,0.8747375,0.878442057,0.497052546,0,0,0,783
1,236,COMCAST COSTCO FACEBOOK,COMCAST,COSTCO,FACEBOOK,07/30/2018,06/26/2020,1.1,0.75,13.48933625,6.981450648,0.55005,0.2734,-12.28017661,-5.319131185,-21.67043579,-35.11312391,12,0.9158375,0.66216129,0.407245205,0,0,0,783
1,125,ALPHABET FACEBOOK MICROSOFT,ALPHABET,FACEBOOK,MICROSOFT,07/30/2018,06/26/2020,1.1,0.85,19.74744355,8.993252789,0.56575,0.35175,-17.17284819,-8.198183503,-27.05440694,-40.60455494,15,0.8747375,0.878442057,0.497052546,0,0,0,783
1,370,FACEBOOK LVMH CANRAIL,FACEBOOK,LVMH,CANRAIL,07/30/2018,06/26/2020,1,0.95,27.8623089,11.16020855,0.66015,0.4932,-24.23040457,-13.08122593,-30.40992264,-43.66716564,15,0.8747625,0.620396948,0.405604473,0,0,0,783
1,237,COMCAST COSTCO MICROSOFT,COMCAST,COSTCO,MICROSOFT,07/30/2018,06/26/2020,0.9,0.75,13.58201391,8.484606341,0.44195,0.12655,-10.7159853,-2.268395961,-6.446766271,-23.09694795,11,0.7933875,0.75695049,0.429659455,0,0,0,783
1,370,FACEBOOK LVMH CANRAIL,FACEBOOK,LVMH,CANRAIL,07/30/2018,06/26/2020,1,0.85,20.5940706,9.202024347,0.61295,0.3831,-17.90959479,-8.72520655,-26.76790494,-40.02514795,15,0.8747625,0.620396948,0.405604473,0,0,0,783
1,186,AMAZON COSTCO ALIBABA,AMAZON,COSTCO,ALIBABA,07/30/2018,06/26/2020,1,0.95,23.12950645,10.37003612,0.6547,0.4016,-20.11680527,-9.766942313,-24.80347237,-36.67698119,15,0.8748625,0.60984425,0.331032627,0,0,0,783
1,237,COMCAST COSTCO MICROSOFT,COMCAST,COSTCO,MICROSOFT,07/30/2018,06/26/2020,1,0.75,13.48568426,8.88567591,0.494,0.15175,-11.45175187,-2.606420621,-7.879535819,-24.11587246,11,0.8541125,0.75695049,0.429659455,0,0,0,783
1,186,AMAZON COSTCO ALIBABA,AMAZON,COSTCO,ALIBABA,07/30/2018,06/26/2020,1,0.85,16.00357064,7.717939809,0.5899,0.31275,-13.91904816,-6.220467272,-21.03768639,-32.91119521,15,0.8748625,0.60984425,0.331032627,0,0,0,783
1,176,AMAZON COMCAST ALIBABA,AMAZON,COMCAST,ALIBABA,07/30/2018,06/26/2020,1,0.95,25.65050662,12.05369731,0.6607,0.44435,-22.31231217,-10.28647394,-21.25868159,-31.13866819,15,0.874975,0.615427076,0.366584383,0,0,0,783
1,237,COMCAST COSTCO MICROSOFT,COMCAST,COSTCO,MICROSOFT,07/30/2018,06/26/2020,1.1,0.75,13.16335854,9.010907923,0.52185,0.1673,-11.80157625,-2.832656469,-8.717041463,-25.00622351,12,0.9019,0.75695049,0.429659455,0,0,0,783
1,176,AMAZON COMCAST ALIBABA,AMAZON,COMCAST,ALIBABA,07/30/2018,06/26/2020,1,0.85,18.43333946,9.695857606,0.60225,0.3445,-16.03439769,-6.368845621,-17.57352243,-27.45350904,15,0.874975,0.615427076,0.366584383,0,0,0,783
1,183,AMAZON COSTCO PMORRIS,AMAZON,COSTCO,PMORRIS,07/30/2018,06/26/2020,1,0.95,25.9151696,13.93548146,0.65655,0.39775,-22.54317215,-8.653324585,-17.70348963,-31.36407039,15,0.875,0.629249931,0.370595209,0,0,0,783
1,238,COMCAST COSTCO PMORRIS,COMCAST,COSTCO,PMORRIS,07/30/2018,06/26/2020,0.9,0.75,12.9218714,7.777571569,0.4403,0.16435,-10.21851792,-2.473205956,-8.210541904,-20.98031685,11,0.7952125,0.732938792,0.414875874,0,0,0,783
1,183,AMAZON COSTCO PMORRIS,AMAZON,COSTCO,PMORRIS,07/30/2018,06/26/2020,1,0.85,18.73880698,11.13608212,0.59955,0.2942,-16.30057445,-5.208032389,-13.98280692,-27.64338768,15,0.875,0.629249931,0.370595209,0,0,0,783
1,73,ADOBE S_P LONDONSE,ADOBE,S_P,LONDONSE,07/30/2018,06/26/2020,1.1,0.95,32.46616914,23.71954586,0.7485,0.2683,-29.87451448,-6.272564086,-9.200229975,-28.35394505,16,0.9257375,0.56230785,0.463597312,0,0,0,783
1,238,COMCAST COSTCO PMORRIS,COMCAST,COSTCO,PMORRIS,07/30/2018,06/26/2020,1,0.75,12.83256955,8.110860758,0.49415,0.1975,-10.9496138,-2.87365098,-9.264176537,-21.86489781,11,0.8582375,0.732938792,0.414875874,0,0,0,783
1,381,MICROSOFT S_P LONDONSE,MICROSOFT,S_P,LONDONSE,07/30/2018,06/26/2020,1.1,0.95,31.17458882,23.53496872,0.72905,0.23325,-28.47476144,-5.060502053,-5.08907215,-23.53315887,16,0.9189,0.606309032,0.464251761,0,0,0,783
1,73,ADOBE S_P LONDONSE,ADOBE,S_P,LONDONSE,07/30/2018,06/26/2020,1,0.95,32.46310303,23.24099216,0.69785,0.2233,-28.69880913,-5.572039644,-8.760076462,-28.05622312,16,0.8892875,0.56230785,0.463597312,0,0,0,783
1,238,COMCAST COSTCO PMORRIS,COMCAST,COSTCO,PMORRIS,07/30/2018,06/26/2020,1.1,0.75,12.49817491,8.2364424,0.5207,0.21235,-11.26049189,-3.060674365,-9.527656002,-22.33792162,12,0.9063625,0.732938792,0.414875874,0,0,0,783
1,381,MICROSOFT S_P LONDONSE,MICROSOFT,S_P,LONDONSE,07/30/2018,06/26/2020,1,0.95,31.25996997,23.01718877,0.67675,0.194,-27.36253202,-4.46198039,-4.343705725,-22.88245195,16,0.8804875,0.606309032,0.464251761,0,0,0,783
1,431,S_P LONDONSE ROCHE,S_P,LONDONSE,ROCHE,07/30/2018,06/26/2020,1.1,0.95,29.73324735,23.00065087,0.7643,0.2759,-27.74879699,-4.868084995,-2.029977308,-17.64762103,16,0.9389375,0.494451031,0.380126872,0,0,0,783
1,217,AMAZON S_P LONDONSE,AMAZON,S_P,LONDONSE,07/30/2018,06/26/2020,1.1,0.95,30.88524661,22.96842958,0.7763,0.29875,-28.86941834,-6.016363014,-6.45921797,-21.2912032,16,0.940425,0.451770124,0.3926818,0,0,0,783
1,217,AMAZON S_P LONDONSE,AMAZON,S_P,LONDONSE,07/30/2018,06/26/2020,1,0.95,30.98295786,22.57501934,0.72325,0.24815,-27.77496347,-5.312408752,-5.982636115,-21.19206666,16,0.9018125,0.451770124,0.3926818,0,0,0,783
1,431,S_P LONDONSE ROCHE,S_P,LONDONSE,ROCHE,07/30/2018,06/26/2020,1,0.95,29.89379417,22.50754698,0.7086,0.2268,-26.6444918,-4.25286059,-1.514238107,-17.04807904,16,0.8966125,0.494451031,0.380126872,0,0,0,783
1,75,ADOBE S_P ROCHE,ADOBE,S_P,ROCHE,07/30/2018,06/26/2020,1.1,0.95,31.37212319,22.43408727,0.7625,0.31065,-29.21336325,-6.887664162,-11.43129048,-29.98196984,16,0.93685,0.51447633,0.431446195,0,0,0,783
1,383,MICROSOFT S_P ROCHE,MICROSOFT,S_P,ROCHE,07/30/2018,06/26/2020,1.1,0.95,30.2546301,22.32053934,0.7462,0.2826,-27.97296726,-5.764010132,-7.473602201,-25.48516647,16,0.9301875,0.539914058,0.428949938,0,0,0,783
1,75,ADOBE S_P ROCHE,ADOBE,S_P,ROCHE,07/30/2018,06/26/2020,1,0.95,31.47540147,22.06227088,0.70545,0.2557,-27.99218528,-6.035749867,-10.51398058,-29.45068809,16,0.894625,0.51447633,0.431446195,0,0,0,783
1,87,ADOBE LONDONSE ROCHE,ADOBE,LONDONSE,ROCHE,07/30/2018,06/26/2020,1.1,0.95,29.6263187,22.0355482,0.7886,0.29845,-27.89783013,-5.972769138,-7.088742373,-25.39196478,16,0.9474125,0.419110338,0.352167779,0,0,0,783
1,395,MICROSOFT LONDONSE ROCHE,MICROSOFT,LONDONSE,ROCHE,07/30/2018,06/26/2020,1.1,0.95,28.41370314,22.01444972,0.77275,0.2666,-26.59401983,-4.694488621,-2.194411041,-18.6247222,16,0.9416625,0.448620096,0.35053232,0,0,0,783
1,317,COSTCO S_P LONDONSE,COSTCO,S_P,LONDONSE,07/30/2018,06/26/2020,1.1,0.95,30.05687143,21.95609807,0.7669,0.3028,-28.0440723,-6.19638811,-8.270273035,-25.78869526,16,0.9387125,0.483690729,0.390161459,0,0,0,783
1,240,COMCAST COSTCO VISA,COMCAST,COSTCO,VISA,07/30/2018,06/26/2020,0.9,0.75,14.08438874,8.177009838,0.45535,0.15295,-11.20571854,-3.060795972,-11.9087122,-30.24016778,11,0.800075,0.712480463,0.426097259,0,0,0,783
